question,choices,answer,explanation,category,options
How many /30 subnets can be created from a /24 network?,"['32', '64', '128', '256']",64,A /30 subnet has 4 addresses (2 usable). A /24 network has 256 addresses. 256/4 = 64 subnets.,subnetting,
What is the last valid host address in the 192.168.10.32/29 subnet?,"['192.168.10.38', '192.168.10.39', '192.168.10.40', '192.168.10.41']",192.168.10.38,"A /29 subnet has 8 total addresses, 6 usable. The range is 192.168.10.32 - 192.168.10.39, making 38 the last valid host.",subnetting,
How many /29 subnets fit into a /26 subnet?,"['2', '4', '8', '16']",4,A /26 has 64 addresses. A /29 has 8. 64/8 = 4.,subnetting,
What subnet mask allows for exactly 1022 usable hosts?,"['/22', '/23', '/24', '/25']",/22,"A /22 subnet has 1024 total addresses, with 1022 usable hosts.",subnetting,
What is the network address of 10.200.15.67/23?,"['10.200.15.0', '10.200.14.0', '10.200.15.64', '10.200.15.128']",10.200.14.0,A /23 subnet groups addresses in blocks of 512. The address 10.200.15.67 falls into 10.200.14.0 - 10.200.15.255.,subnetting,
A /18 subnet has how many total IP addresses?,"['16,384', '8,192', '4,096', '2,048']","16,384","A /18 subnet has 2^(32-18) = 16,384 total addresses.",subnetting,
What is the first valid host in the 172.16.160.0/20 subnet?,"['172.16.160.1', '172.16.160.2', '172.16.160.10', '172.16.160.255']",172.16.160.1,"A /20 subnet range includes 172.16.160.0 - 172.16.175.255, making the first valid host 172.16.160.1.",subnetting,
How many total subnets does a /30 subnet provide in a /16 network?,"['512', '1024', '2048', '4096']",16384,"A /16 network has 65,536 addresses. A /30 subnet has 4. 65,536/4 = 16,384 subnets.",subnetting,
"If you subnet a /19 network into /24 subnets, how many subnets do you get?","['16', '32', '64', '128']",32,"A /19 network has 8,192 addresses. A /24 has 256. 8192/256 = 32 subnets.",subnetting,
A company needs 1200 subnets from a /16. What subnet mask should be used?,"['/22', '/23', '/24', '/25']",/26,"A /26 subnet provides 1024 total subnets (2^(26-16)), the closest match for 1200.",subnetting,
How many /27 subnets can be created from a /21 network?,"['16', '32', '64', '128']",64,A /21 has 2048 addresses. A /27 has 32. 2048/32 = 64 subnets.,subnetting,
A /28 subnet has how many usable hosts?,"['6', '14', '30', '62']",14,"A /28 subnet has 16 total addresses, with 14 usable hosts.",subnetting,
What is the purpose of subnetting?,"['A) To increase the size of a network', 'B) To improve network security', 'C) To divide a large network into smaller subnets', 'D) To combine multiple networks into one']",C,"Subnetting divides a large network into smaller, more manageable subnets to improve network performance and organization.",Subnetting,
What is the subnet mask for a Class C network?,"['A) 255.255.0.0', 'B) 255.255.255.0', 'C) 255.255.255.255', 'D) 255.0.0.0']",B,"For a Class C network, the subnet mask is 255.255.255.0, which allows for 256 IP addresses in the subnet.",Subnetting,
How many valid host IP addresses are available in a subnet with a subnet mask of 255.255.255.192?,"['A) 30', 'B) 62', 'C) 64', 'D) 126']",A,"The subnet mask 255.255.255.192 has 6 host bits, giving 2^6 - 2 = 30 valid host IP addresses.",Subnetting,
What is the range of IP addresses for the subnet 192.168.1.0/24?,"['A) 192.168.0.1 to 192.168.1.254', 'B) 192.168.1.0 to 192.168.1.255', 'C) 192.168.1.1 to 192.168.1.254', 'D) 192.168.0.0 to 192.168.1.255']",C,"With a /24 subnet mask, the range of valid IP addresses is from 192.168.1.1 to 192.168.1.254.",Subnetting,
What is the first valid host address in the subnet 10.0.0.0/25?,"['A) 10.0.0.1', 'B) 10.0.0.0', 'C) 10.0.0.128', 'D) 10.0.0.127']",A,"In the subnet 10.0.0.0/25, the first valid host address is 10.0.0.1.",Subnetting,
Which subnet mask is represented by the CIDR notation /22?,"['A) 255.255.255.252', 'B) 255.255.255.0', 'C) 255.255.252.0', 'D) 255.255.255.224']",C,A /22 subnet mask corresponds to 255.255.252.0.,Subnetting,
What is the network address for the IP address 192.168.10.45 with a subnet mask of 255.255.255.192?,"['A) 192.168.10.0', 'B) 192.168.10.64', 'C) 192.168.10.32', 'D) 192.168.10.128']",C,"The network address is 192.168.10.32, as it is the first address in the subnet for the given subnet mask.",Subnetting,
How many subnets can be created from a Class C network using a subnet mask of 255.255.255.240?,"['A) 8', 'B) 16', 'C) 14', 'D) 30']",B,"A subnet mask of 255.255.255.240 creates 16 subnets, with 14 usable subnets after accounting for network and broadcast addresses.",Subnetting,
What is the last valid host address in the subnet 192.168.1.0/26?,"['A) 192.168.1.62', 'B) 192.168.1.63', 'C) 192.168.1.64', 'D) 192.168.1.61']",A,"In a /26 subnet, the last valid host address is 192.168.1.62, just before the broadcast address 192.168.1.63.",Subnetting,
Which of the following IP addresses is a private IP address?,"['A) 172.16.50.1', 'B) 192.168.255.255', 'C) 10.0.0.256', 'D) 209.165.200.1']",A,172.16.50.1 is a private IP address as it is within the private IP range 172.16.0.0 - 172.31.255.255.,Subnetting,
Which of the following IP address ranges is used for public IP addresses?,"['A) 10.0.0.0 - 10.255.255.255', 'B) 172.16.0.0 - 172.31.255.255', 'C) 192.168.0.0 - 192.168.255.255', 'D) 203.0.113.0 - 203.0.113.255']",D,203.0.113.0 - 203.0.113.255 is a public IP address range.,Subnetting,
What is the subnet mask for a /27 network?,"['A) 255.255.255.192', 'B) 255.255.255.224', 'C) 255.255.255.240', 'D) 255.255.255.248']",B,A /27 subnet mask corresponds to 255.255.255.224.,Subnetting,
How many total IP addresses are available in the 10.0.0.0/24 network?,"['A) 256', 'B) 254', 'C) 512', 'D) 128']",A,"A /24 subnet mask provides 256 IP addresses, including the network and broadcast addresses.",Subnetting,
What is the broadcast address for the subnet 192.168.100.0/25?,"['A) 192.168.100.127', 'B) 192.168.100.255', 'C) 192.168.100.128', 'D) 192.168.100.63']",A,"With a /25 subnet mask, the broadcast address is 192.168.100.127.",Subnetting,
What is the subnet mask for a /28 network?,"['A) 255.255.255.240', 'B) 255.255.255.252', 'C) 255.255.255.224', 'D) 255.255.255.248']",A,A /28 subnet mask corresponds to 255.255.255.240.,Subnetting,
Which of the following will allow for the most IP addresses?,"['A) 255.255.255.0', 'B) 255.255.255.128', 'C) 255.255.255.192', 'D) 255.255.255.240']",A,A subnet mask of 255.255.255.0 (or /24) provides the most available IP addresses for hosts.,Subnetting,
What is the primary purpose of a VLAN?,,A,VLANs are used to segment network traffic into different logical networks to improve security and performance.,vlan,"['A. To segment network traffic for security and performance improvements', 'B. To combine multiple physical networks into one logical network', 'C. To provide a backup for network infrastructure', 'D. To create redundant network paths']"
Which protocol is used to carry VLAN information across switches?,,B,VTP is a Cisco proprietary protocol used to manage VLAN configuration across a network of Cisco switches.,vlan,"['A. STP', 'B. VLAN Trunking Protocol (VTP)', 'C. DHCP', 'D. ARP']"
Which of the following is a key benefit of using VLANs?,,A,"VLANs improve network performance by segmenting broadcast domains, reducing broadcast traffic.",vlan,"['A. Increased network performance through segmentation', 'B. Increased cable lengths', 'C. Elimination of the need for IP addressing', 'D. Simplified routing across different networks']"
Which type of VLAN configuration allows a single physical switch port to carry traffic for multiple VLANs?,,B,"A trunk port can carry multiple VLANs by tagging each frame with a VLAN ID, allowing for the use of a single physical connection for multiple VLANs.",vlan,"['A. Access VLAN', 'B. Trunk VLAN', 'C. Management VLAN', 'D. Native VLAN']"
What is the default VLAN on most switches?,,A,VLAN 1 is the default VLAN on many switches and is typically used for management purposes.,vlan,"['A. VLAN 1', 'B. VLAN 10', 'C. VLAN 99', 'D. VLAN 100']"
